"text_entry","spec","spore_type","measure_orig","Dimension_1","Dimension_2","Dimension_3","Mean_Dim1","Mean_Dim2"
"ascospores and their wall is very evanescent. The broadly fusiform, in cross section ovate ascospores measure 16-21 x 6-7 x 7-8 µm,","Germslitospora savoryi_280846","ascospores","16-21 x 6-7 x 7-8","16-21","6-7","7-8",18.5,6.5
"ascospores measure 16-21 x 6-7 x 7-8 µm,","Germslitospora savoryi_280846","ascospores","16-21 x 6-7 x 7-8","16-21","6-7","7-8",18.5,6.5
"ascospores proved to be laterally more flattened and measured 12-18 x 6-7.5 x 7.5-9 µm.","Germslitospora savoryi_280846","ascospores","12-18 x 6-7.5 x 7.5-9","12-18","6-7.5","7.5-9",15,6.75
"ascospores congobate, brown, oblong to clavulate, 16-24 x 8-14 µm,","Clypeolella ziziphi_430502","ascospores","16-24 x 8-14","16-24","8-14",NA,20,11
"Ascospores hyaline, allantoid, (5-)7-10 µm","Graphostroma platystoma_33137","Ascospores","(5-)7-10","7-10",NA,NA,8.5,8.5
"Ascospores biseriate, hyaline, ellipsoidal, sometimes slightly curved, ends rounded, mature spores 3-septate, not constricted at the septum, 15-22 x 3-5 µm.","Gremmeniella abietina_43031","Ascospores","15-22 x 3-5","15-22","3-5",NA,18.5,4
"Ascospores 1-, 2-or 3-seriate, ellipsoidal or rhomboidal, straight or somewhat curved, rounded at the end, 14-20 x 7.5-10 µm,","Guignardia concinna_115442","Ascospores","14-20 x 7.5-10","14-20","7.5-10",NA,17,8.75
"Ascospores 1-2 seriate, one-celled, ellipsoidal or rhomboidal, sometimes faintly curved, tapering towards the rounded ends, 14-16 x 4.5-7 µm","Guignardia gaultheriae_12258","Ascospores","14-16 x 4.5-7","14-16","4.5-7",NA,15,5.75
"Ascospores 2-3-seriate, one-celled, ellipsoidal, hyaline, and, according to Koorders (l.c.), 11-13 x 4-5 µm.
","Guignardia morindae_116810","Ascospores",".)11-13 x 4-5","11-13","4-5",NA,12,4.5
"Ascospores 1-3 seriate, ovoidal, ellipsoidal or biconical, sometimes curved, one-celled, 14-24 x 5-12, usually 16-20 x 6-9 µm,","Guignardia philoprina_12267","Ascospores","16-20 x 6-9","16-20","6-9",NA,18,7.5
"Ascospores 2-3 seriate, ellipsoidal, containing numerous small and one large guttules, 14-18 x 6.5-8 µm.","Guignardia reticulata_12282","Ascospores","14-18 x 6.5-8","14-18","6.5-8",NA,16,7.25
"ascospores seldom observed outside the asci, but appearing lenticular, smooth, heavy walled with only a trace of an equatorial furrow and no crests, 5.5 to 6.5 µm","Gymnoeurotium athecium_29631","ascospores","6.5","6.5",NA,NA,6.5,6.5
"Ascospores fusoid to broadly ellipsoid, some flattened on one side, (23-)24-27.5(-31) x (9-)11-12.5(-13.5) µm","Gyromitra korfii_272258","Ascospores","(23-)24-27.5(-31) x (9-)11-12.5(-13.5)","24-27.5","11-12.5",NA,25.75,11.75
"ascospores and paraphyses. Paraphyses with yellow-brown, granular contents, slenderly clavate, 11-13 µm","Gyromitra macrospora_245241","ascospores","11-13","11-13",NA,NA,12,12
"Ascospores ellipsoid, flattened on one side, with one large guttule and usually two smaller ones, covered with a gelatinous sheath which is attenuated at each end into a conical, hyaline appendage, the sheath somewhat wrinkled or smooth, and, when fresh, (32-)33-37(-39) x (12-)13-15 µ. Spores from dried specimens, mounted in water, generally shrunken and (23-)27-30(-36) x (9.5-)11-12.6(13.8) µm,","Gyromitra macrospora_245241","Ascospores","(23-)27-30(-36) x (9.5-)11-12.6(13.8)","27-30","11-12.6",NA,28.5,11.8
"Ascospores 25-28 x 10-12 µm,","Halosphaeria maritima_174477","Ascospores","25-28 x 10-12","25-28","10-12",NA,26.5,11
"ascospores ellipsoid, 6.0 to 7.5 µm","Hamigera avellanea_12404","ascospores","7.5","7.5",NA,NA,7.5,7.5
"ascospores (fig. 4) prolate spheroids 6.0-7.5 x 4.0-5.0 µm,","Hamigera avellanea_12404","ascospores","6.0-7.5 x 4.0-5.0","6.0-7.5","4.0-5.0",NA,6.75,4.5
"ascospores present in 12 to 14 days; asci apparently arising as branches from fertile hyphae, not in chains (figs, 156D and 157E), oblong to spherical, about 15 µm","Hamigera striata_12411","ascospores","15","15",NA,NA,15,15
"ascospores comparatively large, elliptical, with over-all dimensions ranging from 7.0 to 8.5 by 5.0 to 6.0 µm,","Hamigera striata_12411","ascospores","6.0","6.0",NA,NA,6,6
"ascospores (Fig. 87G) lenticular with few to several sharp spines (up to 1.3 µm","Harpezomyces chrysellus_5600","ascospores","1.3","1.3",NA,NA,1.3,1.3
"ascospores (Fig. 85D) lenticular, colorless, 6.6 to 7.7 µm","Harpezomyces cremeus_5663","ascospores","7.7","7.7",NA,NA,7.7,7.7
"Ascospores (21.5-)23-26(-28) x (12-)13-14.5 (-15.5) µm,","Helvella crassitunicata_272731","Ascospores","(21.5-)23-26(-28) x (12-)13-14.5 (-15.5)","23-26","13-14.5",NA,24.5,13.75
"Ascospores 23-28 x 12-15.5 µm,","Helvella pocillum_272741","Ascospores","23-28 x 12-15.5","23-28","12-15.5",NA,25.5,13.75
"Ascospores 15-19 x 10-11.5 µm,","Helvella subglabra_272743","Ascospores","15-19 x 10-11.5","15-19","10-11.5",NA,17,10.75
"Ascospores 14.5-18.5 x 10.5-12(-13.5) µm,","Helvella ulvinenii_272744","Ascospores","14.5-18.5 x 10.5-12(-13.5)","14.5-18.5","10.5-12",NA,16.5,11.25
"ascospores at maturity (Fig. 44E), residual peridium consisting of irregular polyhedral cells 15 to 20 µm","Hemicarpenteles ornatus_12730","ascospores","20","20",NA,NA,20,20
"ascospores lenticular, colorless at first but becoming very faintly colored in light brown shades, rough walled, with multiple thin, flexuous crests approximately 1.0 µm","Hemicarpenteles ornatus_12730","ascospores","1.0","1.0",NA,NA,1,1
"ascospores maturing. ascospores broadly ellipsoid, dark brown, I-septate in the middle and constricted at the septum, 25-40 x 13-20 µm,","Holmiella sabina_247503","ascospores","25-40 x 13-20","25-40","13-20",NA,32.5,16.5
"ascospores broadly ellipsoid, dark brown, I-septate in the middle and constricted at the septum, 25-40 x 13-20 µm,","Holmiella sabina_247503","ascospores","25-40 x 13-20","25-40","13-20",NA,32.5,16.5
"Ascospores broadly ellipsoid, dark brown, septate in the middle, constricted at the septum, thick-walled, 25-40 x 13-20 µm,","Holmiella sabina_247503","Ascospores","25-40 x 13-20","25-40","13-20",NA,32.5,16.5
"Part-ascospores hyaline, uniseriate, finely spinulose, dimorphic. Distal part-ascospores globose to subglobose or conical, (2.2-)3.2-4.5(-6.0) x (2.0-) 3.0-4.0(-5.7) µm.","Hypocrea pachybasioides_89828","Part-ascospores","(2.2-)3.2-4.5(-6.0) x (2.0-) 3.0-4.0(-5.7)","3.2-4.5","3.0-4.0",NA,3.85,3.5
"part-ascospores globose to subglobose or conical, (2.2-)3.2-4.5(-6.0) x (2.0-) 3.0-4.0(-5.7) µm.","Hypocrea pachybasioides_89828","part-ascospores","(2.2-)3.2-4.5(-6.0) x (2.0-) 3.0-4.0(-5.7)","3.2-4.5","3.0-4.0",NA,3.85,3.5
"part-ascospores mostly subglobse to oblong, sometimes wedge-shaped or attenuated toward the base, tending to be more oblong toward the base of the ascus, (2.5-)3.7-5.2(-7.2) x (1.7-)2.5-3.5(-4.5) µm","Hypocrea pachybasioides_89828","part-ascospores","(2.5-)3.7-5.2(-7.2) x (1.7-)2.5-3.5(-4.5)","3.7-5.2","2.5-3.5",NA,4.45,3
"Ascospores obliquely mono-stichous, bi-stichous or tristichous, dark brown, non-septate,cymbiform, 80-120 x 5-9 µm,","Hypoxylon bunodes_228290","Ascospores","80-120 x 5-9","80-120","5-9",NA,100,7
"Ascospores dark brown, limoniform, smooth, (14.5-)16-18-(9-)10.5-12(-13) µm,","Hypoxylon limoniisporum_218926","Ascospores","(14.5-)16-18 x (9-)10.5-12(-13)","16-18","10.5-12",NA,17,11.25
"Ascospores monostichous, cymbiform, straight or curved, dark brown, 30-50 x 5-8 µm,","Hypoxylon necatrix_221028","Ascospores","30-50 x 5-8","30-50","5-8",NA,40,6.5
"ascospores irregularly biseriate, 24 µm","Iodophanus durbanensis_252935","ascospores","24","24",NA,NA,24,24
"Ascospores hyaline, fusoid, straight to curved, (2-) 3 (-6)-septate, not or slightly constricted at the septa, surrounded by a mucilaginous sheath which may extend beyond either end after discharge, 47-80 x 12-20 µm.","Keissleriella holmii_185696","Ascospores","47-80 x 12-20","47-80","12-20",NA,63.5,16
"Ascospores uniseriate, dark brown to black, narrowly ellipsoid to fusiform, sides inequilateral, apices acute, with a longitudinal furrow which is sometimes indistinct, 26-40 x 6-13 µm.","Kretzschmaria deusta_13524","Ascospores","26-40 x 6-13","26-40","6-13",NA,33,9.5
"Ascospores biseriate, hyaline, ellipsoidal, sometimes slightly curved, ends rounded, mature spores 3-septate, not constricted at the septum, 15-22 x 3-5 µm.","Lagerbergia abietina_206631","Ascospores","15-22 x 3-5","15-22","3-5",NA,18.5,4
"ascospores regularly uniseriate, oblate, 11-12.5 x 9.5-11 x (7.5)8.5-10 µm,","Lasiobolidium orbiculoides_14053","ascospores","11-12.5 x 9.5-11 x (7.5)8.5-10","11-12.5","9.5-11","8.5-10",11.75,10.25
"Ascospores monostichous or obliquely monostichous, broadly oblong to ellipsoid, hyaline, becoming brown, ends obtuse or rounded, 3 transversely septa, 16-19 x 6-7,5 µm.","Lepteutypa cupressi_185211","Ascospores","16-19 x 6-7,5","16-19","6-7.5",NA,17.5,6.75
"Ascospores distichous, fusiform to ellipsoid, wider in the middle, narrowing towards the apex and base, brown, (2-) 3-septate, the penultimate cell dark brown and larger than the other cells, 28-42 x 8-12 µm;","Leptosphaeria bicolor_180428","Ascospores","28-42 x 8-12","28-42","8-12",NA,35,10
"Ascospores 27-34 x 10-12 µm,","Leptosphaerulina dryadis_233054","Ascospores","27-34 x 10-12","27-34","10-12",NA,30.5,11
"Ascospores filiform, 70-120 µm","Lophodermium canberrianum_180466","Ascospores","70-120","70-120",NA,NA,95,95
"Ascospores filiform, 70-120 µm","Lophodermium canberrianum_180467","Ascospores","70-120","70-120",NA,NA,95,95
"Ascospores filiform, 90-120 µm","Lophodermium seditiosum_122153","Ascospores","90-120","90-120",NA,NA,105,105
"Ascospores 1-celled, broadly fusiform, slightly flattened at one side, reddish-brown, 8-10.5 x 5-6 µm,","Lophotrichus setifer_165284","Ascospores","8-10.5 x 5-6","8-10.5","5-6",NA,9.25,5.5
"Ascospores 42-55 x 16-22 µm,","Luttrellia estuarina_180474","Ascospores","42-55 x 16-22","42-55","16-22",NA,48.5,19
"Ascospores subhyaline, ellipsoidal to short-cylindrical, 8.5-11.0 x 5.0-6.5 µm,","Magnusiomyces magnusii_453033","Ascospores","8.5-11.0 x 5.0-6.5","8.5-11.0","5.0-6.5",NA,9.75,5.75
"Ascospores biseriate, cylindrical to long ellipsoidal, straight or slightly curved, hyaline or rarely pale brown in age, symmetrically 3-septate, the central cells short, the end cells over twice as long, contents large angular to rounded guttules, 70-88 x 14-18 µm,","Massaria lantanae_162954","Ascospores","70-88 x 14-18","70-88","14-18",NA,79,16
"ascospores are thick-walled, dark-brown when mature, contain a de Bary bubble and measure 13-16 x 11-14 x 9-11 µm.","Melanocarpus albomyces_15098","ascospores","13-16 x 11-14 x 9-11","13-16","11-14","9-11",14.5,12.5
"ascospores (9-)10-12.5(-14.5) x (2-)3-4 µm","Melanodothis caricis_15102","ascospores","(9-)10-12.5(-14.5) x (2-)3-4","10-12.5","3-4",NA,11.25,3.5
"Ascospores hyaline, one celled, thick-walled, narrowly ellipsoidal, 9-14.5 x 2-4 µm,","Melanodothis caricis_15102","Ascospores","9-14.5 x 2-4","9-14.5","2-4",NA,11.75,3
"ascospores are ellipsoidal, often with a single central septum but two other septa may develop later, one on each side of the original; they measure 10-17 x 3,5-4,5 µm.
Hosts:","Micronectriella nivalis_414989","ascospores","10-17 x 3,5-4,5","10-17","3.5-4.5",NA,13.5,4
"ascospores (6-)8, size and shape variable, mostly ellipsoid-ovoid, sometimes subglobose or subcylindric, hyaline or yellowish, 14-28 x 8-12.5 µm.","Microsphaera myzodendri_273783","ascospores","14-28 x 8-12.5","14-28","8-12.5",NA,21,10.25
"Ascospores clavate-oblong, often slightly curved, 1 septate in the middle or unequally septate, constricted at the septum, brown, 22-27(37) x 7-8(12.5) µm.","Microthelia incrustans_157490","Ascospores","22-27(37) x 7-8(12.5)","22-27","7-8",NA,24.5,7.5
"Ascospores more or less lunate, plano-convex, 10-12 x 4-5 µm.","Monascus bisporus_29309","Ascospores","10-12 x 4-5","10-12","4-5",NA,11,4.5
"ascospores are ellipsoidal, often with a single central septum but two other septa may develop later, one on each side of the original; they measure 10-17 x 3,5-4,5 µm.
Hosts:","Monographella nivalis_58261","ascospores","10-17 x 3,5-4,5","10-17","3.5-4.5",NA,13.5,4
"Ascospores aseptate, globose, jet-black,smooth, opague at maturity, shiny when discharged, 25-50 (-55) µm","Monosporascus cannonballus_15797","Ascospores","25-50 (-55)","25-50",NA,NA,37.5,37.5
"Ascospores globose with a thick outer wall, dark brown to black, smooth, a small percentage of not fully mature ascospores may be reticulate, 35-42 (-50) µm","Monosporascus eutypoides_15799","Ascospores","35-42 (-50)","35-42",NA,NA,38.5,38.5
"ascospores may be reticulate, 35-42 (-50) µm","Monosporascus eutypoides_15799","ascospores","35-42 (-50)","35-42",NA,NA,38.5,38.5
"Ascospores ellipsoidal to ovoidal, brown, 7.5-11.0 x 4.5-7.0 µm,","Myceliophthora thermophila_16553","Ascospores","7.5-11.0 x 4.5-7.0","7.5-11.0","4.5-7.0",NA,9.25,5.75
"Ascospores irregularly biseriate, hyaline, ellipsoid or fusiform, approximately medianly uniseptate, slightly constricted at septa, the upper cell swollen just above the septa, 12-16 x 4-6 µm,","Mycosphaerella chrysanthemi_221891","Ascospores","12-16 x 4-6","12-16","4-6",NA,14,5
"Ascospores hyaline, fusiform, 1-septate, straight or slightly curved, 6-12 x 2-3 µm.","Mycosphaerella citri_109837","Ascospores","6-12 x 2-3","6-12","2-3",NA,9,2.5
"Ascospores hyaline, biseriate, 1-septate, slightly constricted at the septum, fusiform, larger cell uppermost in the ascus, 12,5-16,5 x 2,5-4 µm.","Mycosphaerella fijiensis_110579","Ascospores","12,5-16,5 x 2,5-4","12.5-16.5","2.5-4",NA,14.5,3.25
"Ascospores colourless, elliptical, 1-septate in the middle or below and with one cell slightly longer and broader than the other, 9-16 (-18) x 2,5-4,5 µm.","Mycosphaerella graminicola_50925","Ascospores","9-16 (-18) x 2,5-4,5","9-16","2.5-4.5",NA,12.5,3.5
"Ascospores colourless, 1-septate, slightly constricted at the septum, oblong elliptic, smooth, 7-9 x 3-4 µm,","Mycosphaerella pyri_16972","Ascospores","7-9 x 3-4","7-9","3-4",NA,8,3.5
"Ascospores light greenish hyaline to light green, obovoid to ellipsoid, 11-13 x (3.0-) 3.5-4(-4.5) µm,","Mycosphaerella theissenii_273956","Ascospores","11-13 x (3.0-) 3.5-4(-4.5)","11-13","3.5-4",NA,12,3.75
"Ascospores biseriate to irregularly biseriate, hyaline, ellipsoid, 1-septate, constricted at septa, upper cells usually larger than the lower cells, usually with two large guttules in each cell, (15-) 16-17 (-19) x 4-5 µm.","Mycosphaerella zeae-maydis_180653","Ascospores","(15-) 16-17 (-19) x 4-5","16-17","4-5",NA,16.5,4.5
"Ascospores spherical, subhyaline, irregularly punctate-reticulate, with an irregular sheath, 3-4 x 2.7-3.8 µm.","Myriodontium keratinophilum_17047","Ascospores","3-4 x 2.7-3.8","3-4","2.7-3.8",NA,3.5,3.25
"Ascospores colourless, thin-walled, smooth, thread-like, 58-65 x ca 1 µm,","Naemacyclus korfii_180674","Ascospores","1","1",NA,NA,1,1
"Ascospores filiform, hyaline, 2-septate, smooth, 65-100 µm","Naemacyclus minor_17170","Ascospores","65-100","65-100",NA,NA,82.5,82.5
"ascospores oblong-oval or subcymbiform, straight or curved, obtuse, three-septate, constricted at the septa, 22-34 x 8-9 µm.
Sporodochia","Nectria coccidophaga_245885","ascospores","22-34 x 8-9","22-34","8-9",NA,28,8.5
"Ascospores broadly fusoid, 1-septate, hyaline, smooth to slightly roughened, 16-22 x 5-7 µm.","Nectria macrospora_35640","Ascospores","16-22 x 5-7","16-22","5-7",NA,19,6
"Ascospores uniseriate, unicellular, 5.5-8 x 3-4 µm,","Neolecta vitellina_229417","Ascospores","5.5-8 x 3-4","5.5-8","3-4",NA,6.75,3.5
"ascospores (Fig. 61H) thick walled, lenticular, colorless, with two narrow equatorial ridges and convex walls finely reticulate or spinulose, 6.0 to 6.5 µm","Neosartorya aurata_17560","ascospores","6.5","6.5",NA,NA,6.5,6.5
"ascospores hyaline, lenticular, with two prominent equatorial crests and with convex surfaces conspicuously echinulate, 6.0 to 7.0 µm","Neosartorya aureola_17563","ascospores","7.0","7.0",NA,NA,7,7
"ascospores biconvex, uncolored, usually 7.0 by 4.0 µm","Neosartorya fischeri_58269","ascospores","4.0","4.0",NA,NA,4,4
"Ascospores biconvex, colourless, 6-7 x 4 µm","Neosartorya fischeri_58269","Ascospores","6-7 x 4","6-7","4",NA,6.5,4
"Ascospores spherical to ellipsoidal, 7-8 x 3-4 µm,","Neosartorya fischeri_58269","Ascospores","7-8 x 3-4","7-8","3-4",NA,7.5,3.5
"Ascospores subspherical, with two prominent, flexuose, equatorial crests, about 5 µm","Neosartorya fischeri_58269","Ascospores","5","5",NA,NA,5,5
"ascospores at maturity (Fig. 44E), residual peridium consisting of irregular polyhedral cells 15 to 20 µm","Neosartorya ornata_35589","ascospores","20","20",NA,NA,20,20
"ascospores lenticular, colorless at first but becoming very faintly colored in light brown shades, rough walled, with multiple thin, flexuous crests approximately 1.0 µm","Neosartorya ornata_35589","ascospores","1.0","1.0",NA,NA,1,1
"ascospores colorless, spore bodies 5 by 4 µm","Neosartorya quadricincta_17593","ascospores","4","4",NA,NA,4,4
"Ascospores allantoid, hyaline, 8-10 x 1.5-2 µm","Nitschkia callista_247340","Ascospores","8-10 x 1.5-2","8-10","1.5-2",NA,9,1.75
"Ascospores biseriate or irregularly crowded, ellipsoid or kidney-shaped, smoky, 9-12 x 3.5-4 µm.","Nitschkia confertula_120720","Ascospores","9-12 x 3.5-4","9-12","3.5-4",NA,10.5,3.75
"Ascospores biseriate or crowded, hyaline, fusiform, slightly curved, with a septum in the middle, 10-16 x 2 µm.","Nitschkia parasitans_120721","Ascospores","10-16 x 2","10-16","2",NA,13,2
"Ascospores monostichous in the ascus, 3-5 transversely septate, with one incomplete vertical septum in some of the cells and oblique septum in the end cells, 16-25 x 7-9 µm,","Gibberidea pityophila_431852","Ascospores","16-25 x 7-9","16-25","7-9",NA,20.5,8
"Ascospores monostichous in the ascus, 3-5 transversely septate, with one incomplete vertical septum in some of the cells and oblique septum in the end cells, 16-25 x 7-9 µm,","Sphaeria pityophila_431853","Ascospores","16-25 x 7-9","16-25","7-9",NA,20.5,8
"Ascospores monostichous in the ascus, 3-5 transversely septate, with one incomplete vertical septum in some of the cells and oblique septum in the end cells, 16-25 x 7-9 µm,","Cucurbitaria pityophila_431851","Ascospores","16-25 x 7-9","16-25","7-9",NA,20.5,8
